iso_code,iso_code,date,new_deaths_smoothed_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_deaths,excess_mortality,excess_mortality_cumulative_per_million
BRA,South America,2/26/2020,0,0,0,0,0,0,0
BRA,South America,2/27/2020,0,0,0,0,0,0,0
BRA,South America,2/28/2020,0,0,0,0,0,0,0
BRA,South America,2/29/2020,0,0,0,0,0,3.12,11.3266588
BRA,South America,3/1/2020,0,0,0,0,0,0,0
BRA,South America,3/2/2020,0,0,0,0,0,0,0
BRA,South America,3/3/2020,0,0,0,0,0,0,0
BRA,South America,3/4/2020,0,0,0,0,0,0,0
BRA,South America,3/5/2020,0,0,0,0,0,0,0
BRA,South America,3/6/2020,0,0,0,0,0,0,0
BRA,South America,3/7/2020,0,0,0,0,0,0,0
BRA,South America,3/8/2020,0,0,0,0,0,0,0
BRA,South America,3/9/2020,0,0,0,0,0,0,0
BRA,South America,3/10/2020,0,0,0,0,0,0,0
BRA,South America,3/11/2020,0,0,0,0,0,0,0
BRA,South America,3/12/2020,0,0,0,0,0,0,0
BRA,South America,3/13/2020,0,0,0,0,0,0,0
BRA,South America,3/14/2020,0,0,0,0,0,0,0
BRA,South America,3/15/2020,0,0,0,0,0,0,0
BRA,South America,3/16/2020,0,0,0,0,0,0,0
BRA,South America,3/17/2020,0,0,0,0,1,0,0
BRA,South America,3/18/2020,0,0,0,0,2,0,0
BRA,South America,3/19/2020,0,0,0,0,3,0,0
BRA,South America,3/20/2020,0,0,0,0,5,0,0
BRA,South America,3/21/2020,0,0,0,0,4,0,0
BRA,South America,3/22/2020,0.017,0,0,0,10,0,0
BRA,South America,3/23/2020,0.023,0,0,0,9,0,0
BRA,South America,3/24/2020,0.03,0,0,0,12,0,0
BRA,South America,3/25/2020,0.037,0,0,0,13,0,0
BRA,South America,3/26/2020,0.047,0,0,0,18,0,0
BRA,South America,3/27/2020,0.054,0,0,0,15,0,0
BRA,South America,3/28/2020,0.064,0,0,0,19,0,0
BRA,South America,3/29/2020,0.074,0,0,0,25,0,0
BRA,South America,3/30/2020,0.083,0,0,0,23,0,0
BRA,South America,3/31/2020,0.103,0,0,0,42,4.48,34.9094007
BRA,South America,4/1/2020,0.121,0,0,0,39,0,0
BRA,South America,4/2/2020,0.165,0,0,0,84,0,0
BRA,South America,4/3/2020,0.178,0,0,0,35,0,0
BRA,South America,4/4/2020,0.223,0,0,0,86,0,0
BRA,South America,4/5/2020,0.233,0,0,0,41,0,0
BRA,South America,4/6/2020,0.27,0,0,0,78,0,0
BRA,South America,4/7/2020,0.323,0,0,0,122,0,0
BRA,South America,4/8/2020,0.386,0,0,0,133,0,0
BRA,South America,4/9/2020,0.417,0,0,0,131,0,0
BRA,South America,4/10/2020,0.465,0,0,0,107,0,0
BRA,South America,4/11/2020,0.453,0,0,0,67,0,0
BRA,South America,4/12/2020,0.491,0,0,0,99,0,0
BRA,South America,4/13/2020,0.509,0,0,0,105,0,0
BRA,South America,4/14/2020,0.564,0,0,0,204,0,0
BRA,South America,4/15/2020,0.611,0,0,0,204,0,0
BRA,South America,4/16/2020,0.649,0,0,0,188,0,0
BRA,South America,4/17/2020,0.723,0,0,0,217,0,0
BRA,South America,4/18/2020,0.82,0,0,0,213,0,0
BRA,South America,4/19/2020,0.826,0,0,0,108,0,0
BRA,South America,4/20/2020,0.839,0,0,0,125,0,0
BRA,South America,4/21/2020,0.806,0,0,0,154,0,0
BRA,South America,4/22/2020,0.78,0,0,0,165,0,0
BRA,South America,4/23/2020,0.938,0,0,0,425,0,0
BRA,South America,4/24/2020,1.042,0,0,0,373,0,0
BRA,South America,4/25/2020,1.135,0,0,0,353,0,0
BRA,South America,4/26/2020,1.216,0,0,0,229,0,0
BRA,South America,4/27/2020,1.344,0,0,0,317,0,0
BRA,South America,4/28/2020,1.561,0,0,0,480,0,0
BRA,South America,4/29/2020,1.738,0,0,0,430,0,0
BRA,South America,4/30/2020,1.783,0,0,0,493,9.42,84.53655249
BRA,South America,5/1/2020,1.805,0,0,0,406,0,0
BRA,South America,5/2/2020,1.802,0,0,0,349,0,0
BRA,South America,5/3/2020,1.843,0,0,0,290,0,0
BRA,South America,5/4/2020,1.842,0,0,0,316,0,0
BRA,South America,5/5/2020,1.903,0,0,0,571,0,0
BRA,South America,5/6/2020,2.05,0,0,0,650,0,0
BRA,South America,5/7/2020,2.122,0,0,0,602,0,0
BRA,South America,5/8/2020,2.403,0,0,0,827,0,0
BRA,South America,5/9/2020,2.596,0,0,0,639,0,0
BRA,South America,5/10/2020,2.714,0,0,0,467,0,0
BRA,South America,5/11/2020,2.857,0,0,0,530,0,0
BRA,South America,5/12/2020,3.015,0,0,0,808,0,0
BRA,South America,5/13/2020,3.101,0,0,0,779,0,0
BRA,South America,5/14/2020,3.205,0,0,0,759,0,0
BRA,South America,5/15/2020,3.296,0,0,0,963,0,0
