iso_code,iso_code,,new_deaths_smoothed_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excess_mortality,excess_mortality_cumulative_per_million
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,11.3266588
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.017,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.023,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.03,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.037,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.047,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.054,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.064,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.074,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.083,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.103,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,34.9094007
BRA,South America,,0.121,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.165,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.178,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.223,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.233,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.27,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
